t_mono_s,v_bus,i,p
# start 2026-09-25T19:46:02 mono=606.1 interval=10.0 threshold=9.6 count=3
11316.5,11.490,-0.353,-4.05
11326.5,11.490,-0.356,-4.09
11336.5,11.489,-0.350,-4.02
11346.5,11.488,-0.349,-4.01
11356.5,11.487,-0.353,-4.06
11366.5,11.485,-0.351,-4.03
11376.5,11.486,-0.351,-4.03
11386.5,11.484,-0.354,-4.07
11396.5,11.483,-0.352,-4.04
11406.5,11.479,-0.371,-4.26
11416.5,11.481,-0.355,-4.07
11426.5,11.478,-0.365,-4.19
11436.5,11.480,-0.349,-4.01
11446.5,11.480,-0.352,-4.04
11456.5,11.475,-0.373,-4.28
11466.5,11.477,-0.354,-4.06
11476.5,11.476,-0.351,-4.03
11486.5,11.472,-0.369,-4.23
11496.5,11.474,-0.355,-4.07
11506.5,11.474,-0.357,-4.10
11516.5,11.473,-0.355,-4.08
11526.5,11.473,-0.352,-4.04
11536.5,11.471,-0.358,-4.10
11546.5,11.471,-0.359,-4.12
11556.5,11.470,-0.354,-4.06
11566.5,11.469,-0.356,-4.08
11576.5,11.468,-0.358,-4.11
11586.5,11.467,-0.358,-4.11
11596.5,11.464,-0.369,-4.23
11606.5,11.464,-0.371,-4.26
11616.5,11.463,-0.362,-4.15
11626.5,11.465,-0.355,-4.07
11636.5,11.462,-0.357,-4.10
11646.5,11.459,-0.371,-4.25
11656.5,11.459,-0.374,-4.29
11666.5,11.460,-0.360,-4.12
11676.5,11.458,-0.358,-4.11
11686.5,11.458,-0.358,-4.10
11696.5,11.457,-0.362,-4.15
11706.5,11.457,-0.361,-4.14
11716.5,11.456,-0.362,-4.15
11726.5,11.455,-0.360,-4.12
11736.5,11.452,-0.371,-4.25
11746.5,11.454,-0.360,-4.13
11756.5,11.452,-0.362,-4.14
11766.5,11.450,-0.373,-4.27
11776.5,11.451,-0.362,-4.15
11786.5,11.448,-0.371,-4.24
11796.5,11.447,-0.372,-4.25
11806.5,11.448,-0.360,-4.12
11816.5,11.447,-0.361,-4.14
11826.5,11.446,-0.363,-4.16
11836.5,11.445,-0.362,-4.15
11846.5,11.443,-0.370,-4.23
11856.5,11.444,-0.364,-4.16
11866.5,11.442,-0.365,-4.18
11876.5,11.441,-0.361,-4.13
11886.5,11.440,-0.365,-4.17
11896.5,11.440,-0.363,-4.15
